"Ano";"Pop_residente"
"2001";10731816
"2002";10827564
"2003";10919515
"2004";11010464
"2005";11101076
"2006";11189109
"2007";11274350
"2008";11360771
"2009";11448887
"2010";11536254
"2011";11617017
"2012";11698564
"2013";11779406
"2014";11860285
"2015";11943037
"2016";12022916
"2017";12099887
"2018";12176866
"2019";12252023
"2020";12325232
"2021";12396372
