EPI_YEAR,EPI_WEEK,tplot,rh_max_lag,rh_min_lag,t_min_lag,t_max_lag,p_total_lag,LAMBDA_lag,CASES_100K,label
2001,20,2001.3846153846155,99.22285714285714,63.656666666666666,18.744285714285713,27.047142857142855,48.879999999999995,0.3340460191407044,0.19567983647874693,Pre
2001,21,2001.4038461538462,97.11571428571429,63.32142857142857,19.17,27.095714285714287,7.34,0.6189875099654529,0.07454469961095121,Pre
2001,22,2001.423076923077,98.20571428571428,58.88428571428572,20.17,25.968571428571426,11.61,0.6887468030690537,0.11181704941642681,Pre
2001,23,2001.4423076923076,99.57142857142857,72.18714285714286,20.29714285714286,27.425714285714285,1.08,0.7531584808571101,0.07454469961095121,Pre
2001,24,2001.4615384615386,99.90142857142857,68.36571428571429,19.322857142857142,27.914285714285715,1.87,0.7711343930635838,0.04659043725684451,Pre
2001,25,2001.4807692307693,98.01714285714286,71.26,18.82857142857143,25.701428571428572,14.25,0.66404988336623,0.055908524708213406,Pre
2001,26,2001.5,92.19571428571429,70.50857142857143,17.785714285714285,26.252857142857142,12.66,0.7774562459486984,0.04659043725684451,Pre
2001,27,2001.5192307692307,97.59857142857143,65.16857142857143,18.661428571428573,25.427142857142858,0.9600000000000001,0.5847986386840617,0.04659043725684451,Pre
2001,28,2001.5384615384614,97.73142857142857,62.41142857142857,18.584285714285713,25.532857142857143,5.56,0.8457991227083568,0.018636174902737803,Pre
2001,29,2001.5576923076924,98.66,69.05285714285714,19.147142857142857,27.392857142857142,2.9899999999999998,0.7124115755627011,0.009318087451368902,Pre
2001,30,2001.576923076923,99.42857142857143,64.75857142857143,18.42857142857143,25.19857142857143,36.77,0.5048087198119257,0.04659043725684451,Pre
2001,31,2001.5961538461538,99.59857142857143,62.348571428571425,17.79,20.67142857142857,1.1600000000000001,0.25558912386706956,0.09318087451368902,Pre
2001,32,2001.6153846153845,98.85714285714286,68.98428571428572,16.805714285714288,18.422857142857143,5.72,0.309358752166378,0.018636174902737803,Pre
2001,33,2001.6346153846155,95.56285714285714,68.11571428571429,14.634285714285713,21.69142857142857,0.09999999999999999,0.28526148969889076,0.009318087451368902,Pre
2001,34,2001.6538461538462,98.83714285714287,65.35714285714286,17.465714285714288,23.454285714285714,22.09,0.19340659340659322,0.018636174902737803,Pre
2001,35,2001.673076923077,99.40142857142857,57.722857142857144,15.597142857142858,24.517142857142858,10.77,0.2162162162162161,0.018636174902737803,Pre
2001,36,2001.6923076923076,98.42,57.16,12.051428571428572,23.201428571428572,3.33,0.23389021479713595,0.009318087451368902,Pre
2001,37,2001.7115384615386,96.45571428571428,55.277142857142856,10.304285714285715,18.382857142857144,43.68,0,0,Pre
2001,38,2001.7307692307693,89.84714285714286,67.02428571428571,12.784285714285714,19.72142857142857,7.180000000000001,0,0,Pre
2001,39,2001.75,96.96428571428571,73.00714285714285,14.724285714285715,24.09857142857143,18.49,0,0,Pre
2001,40,2001.7692307692307,99.5,64.97285714285714,14.972857142857142,21.582857142857144,80.12,0,0,Pre
2001,41,2001.7884615384614,99.77714285714286,66.21428571428571,13.392857142857142,25.85142857142857,34.94,0.23985680190930778,0.009318087451368902,Pre
2001,42,2001.8076923076924,98.75857142857143,59.497142857142855,8.707142857142857,19.824285714285715,44.39,0,0,Pre
2001,43,2001.826923076923,97.26,55.44571428571429,10.375714285714286,23.405714285714286,16.810000000000002,0,0,Pre
2001,44,2001.8461538461538,93.54428571428572,64.68714285714286,11.37857142857143,23.990000000000002,2.38,0.17848699763593384,0.027954262354106703,Pre
2001,45,2001.8653846153845,98.16142857142857,61.215714285714284,10.215714285714286,24.85,7.9799999999999995,0.20654911838790943,0.009318087451368902,Pre
2001,46,2001.8846153846155,96.25,46.885714285714286,11.56,26.64,54.85,0,0,Pre
2001,47,2001.9038461538462,98.46571428571428,51.41142857142857,10.714285714285714,28.26142857142857,21.21,0.22195121951219535,0.009318087451368902,Pre
2001,48,2001.923076923077,97.42142857142856,39.76,9.862857142857143,27.43714285714286,53.56,0.3097560975609755,0.009318087451368902,Pre
2001,49,2001.9423076923076,97.13571428571429,65.30285714285715,11.004285714285714,26.195714285714285,41.120000000000005,0.051813471502590476,0.009318087451368902,Pre
2001,50,2001.9615384615386,98.12571428571428,48.11714285714286,11.147142857142857,22.277142857142856,106.19,-0.5576923076923078,0.04659043725684451,Pre
2001,51,2001.9807692307693,98.17999999999999,42.614285714285714,13.131428571428572,26.24,36.75,-0.09550561797752806,0.018636174902737803,Pre
2001,52,2002,98.49142857142857,38.098571428571425,15.518571428571429,25.724285714285713,42.01,-0.0988372093023256,0.009318087451368902,Pre
2002,1,2002.0192307692307,96.55428571428571,40.668571428571425,14.498571428571429,25.38,20.580000000000002,-2.089887640449438,0.42484163566246297,Pre
2002,2,2002.0384615384614,96.12428571428572,42.83857142857143,13.232857142857142,26,72.03,1.207958792041208,0.5633769516393531,Pre
2002,3,2002.0576923076924,97.50857142857143,42.17,9.574285714285715,25.69142857142857,85.64,0.9662241233202855,0.5264342007121824,Pre
2002,4,2002.076923076923,97.48,46.035714285714285,14.822857142857144,28.175714285714285,63.48,1.1114686010120212,0.7757977694705845,Pre
2002,5,2002.0961538461538,97.44571428571429,45.96285714285714,13.912857142857142,30.064285714285717,45.78,1.2943644866589328,1.2191107805966328,Pre
2002,6,2002.1153846153845,97.23142857142857,51.418571428571425,15.402857142857142,25.415714285714287,52.52,1.2371486054967977,1.5331241634775836,Pre
2002,7,2002.1346153846155,97.94714285714285,51.08,14.54,28.169999999999998,42.63,1.1642846533427955,1.7917234199677787,Pre
