iter	Passed	Remaining
431	1613	1628
432	1616	1624
433	1620	1620
434	1623	1616
435	1627	1612
436	1631	1608
437	1634	1604
438	1638	1600
439	1641	1596
440	1645	1593
441	1649	1589
442	1652	1585
443	1656	1581
444	1659	1577
445	1663	1573
446	1666	1569
447	1670	1566
448	1674	1562
449	1677	1558
450	1681	1554
451	1684	1550
452	1688	1546
453	1691	1542
454	1695	1538
455	1699	1535
456	1703	1531
457	1706	1527
458	1709	1523
459	1713	1519
460	1717	1516
461	1720	1512
462	1724	1508
463	1728	1504
464	1731	1500
465	1735	1497
466	1738	1493
467	1742	1489
468	1746	1485
469	1749	1481
470	1753	1477
471	1756	1473
472	1760	1470
473	1764	1466
474	1767	1462
475	1771	1458
476	1774	1454
477	1778	1450
478	1781	1447
479	1785	1443
480	1788	1439
481	1792	1435
482	1796	1431
483	1799	1427
484	1803	1424
485	1806	1420
486	1810	1416
487	1814	1412
488	1817	1408
489	1821	1404
490	1824	1401
491	1828	1397
492	1831	1393
493	1835	1389
494	1838	1385
495	1842	1381
496	1846	1378
497	1849	1374
498	1853	1370
499	1857	1366
500	1861	1363
501	1864	1359
502	1868	1356
503	1872	1352
504	1876	1348
505	1880	1345
506	1884	1341
507	1887	1337
508	1891	1334
509	1895	1330
510	1898	1326
511	1902	1322
512	1905	1318
513	1909	1315
514	1913	1311
515	1917	1307
516	1921	1304
517	1924	1300
518	1928	1296
519	1932	1293
520	1935	1289
521	1939	1285
522	1942	1281
523	1946	1277
524	1950	1274
525	1953	1270
526	1957	1266
527	1960	1262
528	1964	1258
529	1967	1254
530	1971	1251
531	1974	1247
532	1978	1243
533	1982	1239
534	1985	1235
535	1989	1232
536	1992	1228
537	1996	1224
538	2000	1220
539	2003	1217
540	2007	1213
541	2010	1209
542	2014	1205
543	2017	1201
544	2021	1198
545	2025	1194
546	2028	1190
547	2031	1186
548	2035	1182
549	2039	1179
550	2042	1175
551	2046	1171
552	2049	1167
553	2053	1163
554	2057	1160
555	2060	1156
556	2064	1152
557	2067	1148
558	2071	1144
559	2074	1141
560	2078	1137
561	2081	1133
562	2085	1129
563	2089	1126
564	2092	1122
565	2096	1118
566	2099	1114
567	2103	1110
568	2106	1107
569	2110	1103
570	2113	1099
571	2117	1095
572	2120	1091
573	2124	1088
574	2128	1084
575	2132	1080
576	2135	1077
577	2139	1073
578	2143	1069
579	2147	1066
580	2151	1062
581	2155	1058
582	2158	1055
583	2162	1051
584	2165	1047
585	2169	1044
586	2173	1040
587	2177	1036
588	2180	1033
589	2184	1029
590	2188	1025
591	2191	1021
592	2195	1018
593	2198	1014
594	2202	1010
595	2206	1006
596	2209	1003
597	2213	999
598	2216	995
599	2220	991
600	2224	988
601	2227	984
602	2231	980
603	2234	976
604	2238	973
605	2241	969
606	2245	965
607	2249	961
608	2252	958
609	2256	954
610	2260	950
611	2263	946
612	2267	943
613	2270	939
614	2274	935
615	2278	931
616	2281	928
617	2284	924
618	2288	920
619	2292	916
620	2295	913
621	2299	909
622	2303	905
623	2306	901
624	2310	898
625	2314	894
626	2317	890
627	2321	887
628	2325	883
629	2328	879
630	2332	875
631	2335	872
632	2339	868
633	2343	864
634	2347	861
635	2350	857
636	2354	853
637	2358	850
638	2361	846
639	2365	842
640	2368	838
641	2372	835
642	2376	831
643	2379	827
644	2383	824
645	2387	820
646	2390	816
647	2394	812
648	2398	809
649	2401	805
650	2405	801
651	2409	798
652	2412	794
653	2416	790
654	2419	786
655	2423	783
656	2427	779
657	2431	775
658	2434	772
659	2438	768
660	2442	764
661	2446	761
662	2450	757
663	2454	754
664	2458	750
665	2462	746
666	2466	743
667	2469	739
668	2473	735
669	2477	732
670	2481	728
671	2484	724
672	2488	720
673	2492	717
674	2495	713
675	2499	709
676	2502	706
677	2506	702
678	2510	698
679	2513	694
680	2517	691
681	2520	687
682	2524	683
683	2528	680
684	2531	676
685	2535	672
686	2538	668
687	2542	665
688	2545	661
689	2549	657
690	2553	653
691	2556	650
692	2560	646
693	2563	642
694	2567	639
695	2570	635
696	2574	631
697	2578	627
698	2581	624
699	2585	620
700	2588	616
701	2592	613
702	2596	609
703	2599	605
704	2603	601
705	2606	598
706	2610	594
707	2613	590
708	2617	586
709	2620	583
710	2624	579
711	2628	575
712	2632	572
713	2636	568
714	2639	564
715	2643	561
716	2647	557
717	2650	553
718	2654	550
719	2658	546
720	2662	542
721	2665	539
722	2669	535
723	2672	531
724	2676	527
725	2680	524
726	2683	520
727	2687	516
728	2691	513
729	2694	509
730	2698	505
731	2702	502
732	2705	498
733	2709	494
734	2713	490
735	2716	487
736	2720	483
737	2723	479
738	2727	476
739	2731	472
740	2734	468
741	2738	465
742	2742	461
743	2745	457
744	2749	453
745	2752	450
746	2756	446
747	2759	442
748	2763	439
749	2766	435
750	2770	431
751	2774	427
752	2778	424
753	2781	420
754	2785	416
755	2788	413
756	2792	409
757	2796	405
758	2799	402
759	2803	398
760	2807	394
761	2810	390
762	2814	387
763	2817	383
764	2821	379
765	2825	376
766	2828	372
767	2832	368
768	2835	365
769	2839	361
770	2842	357
771	2846	353
772	2850	350
773	2853	346
774	2857	342
775	2860	339
776	2864	335
777	2868	331
778	2871	328
779	2875	324
780	2878	320
781	2882	317
782	2886	313
783	2889	309
784	2893	305
785	2896	302
786	2900	298
787	2903	294
788	2907	291
789	2911	287
790	2914	283
791	2918	280
792	2922	276
793	2925	272
794	2929	268
795	2932	265
796	2936	261
797	2939	257
798	2943	254
799	2947	250
800	2950	246
801	2954	243
802	2958	239
803	2961	235
804	2965	232
805	2969	228
806	2973	224
807	2976	221
808	2980	217
809	2983	213
810	2987	209
811	2991	206
812	2994	202
813	2998	198
814	3002	195
815	3005	191
816	3009	187
817	3013	184
818	3017	180
819	3020	176
820	3024	173
821	3028	169
822	3031	165
823	3034	162
824	3038	158
825	3041	154
826	3045	150
827	3049	147
828	3052	143
829	3056	139
830	3059	136
831	3063	132
832	3067	128
833	3070	125
834	3074	121
835	3076	117
836	3080	114
837	3084	110
838	3087	106
839	3091	103
840	3095	99
841	3099	95
842	3102	92
843	3106	88
844	3110	84
845	3114	80
846	3118	77
847	3121	73
848	3125	69
849	3129	66
850	3133	62
851	3137	58
852	3141	55
853	3144	51
854	3148	47
855	3152	44
856	3156	40
857	3160	36
858	3164	33
859	3167	29
860	3171	25
861	3175	22
862	3178	18
863	3182	14
864	3185	11
865	3189	7
866	3193	3
867	3196	0
