iter	Logloss
0	0.6914803399
1	0.6895706177
2	0.6875523885
3	0.6859255897
4	0.6841264089
5	0.6827287038
6	0.6811378479
7	0.6794743856
8	0.6779032813
9	0.6762941996
10	0.674400923
11	0.6728466882
12	0.6711308797
13	0.6694972568
14	0.6681584676
15	0.6667273204
16	0.6651533763
17	0.6637374878
18	0.6624199761
19	0.6609485202
20	0.6594994863
21	0.6579553816
22	0.6564970652
23	0.6549869113
24	0.6536900414
25	0.6523535834
26	0.6507435269
27	0.6492370182
28	0.6478316413
29	0.6461324904
30	0.6448256599
31	0.6432239532
32	0.6419451396
33	0.6404721578
34	0.6390536838
35	0.6373611026
36	0.6360578749
37	0.6343106164
38	0.632916726
39	0.6315080855
40	0.6298984104
41	0.6283131493
42	0.6269767761
43	0.6254649268
44	0.6241153293
45	0.622464837
46	0.6212082757
47	0.6198430379
48	0.6182718065
49	0.6167555915
50	0.6155016581
51	0.6141984304
52	0.6128838433
53	0.6115246667
54	0.6102023655
55	0.6091284858
56	0.6078821818
57	0.6064997779
58	0.6052889506
59	0.6037819756
60	0.60252889
61	0.6011955685
62	0.5997230954
63	0.598540624
64	0.5971042209
65	0.5956392076
66	0.5943103366
67	0.5931586372
68	0.591873508
69	0.5904990726
70	0.5890870412
71	0.5879670037
72	0.5865175883
73	0.5850443098
74	0.5837281969
75	0.582545895
76	0.5813171387
77	0.5800282372
78	0.5786790212
79	0.5773604075
80	0.5760900286
81	0.574780994
82	0.5734184265
83	0.5721825494
84	0.5709526486
85	0.5695285373
86	0.5683968014
87	0.5672736274
88	0.5658106486
89	0.5645482381
90	0.563297187
91	0.562110689
92	0.5608078851
93	0.5595615387
94	0.5582432217
95	0.556954617
96	0.5559087965
97	0.5546023899
98	0.5533002641
99	0.5519221836
100	0.5508517795
101	0.549896876
102	0.5484246996
103	0.547317844
104	0.5463623895
105	0.5453841315
106	0.544552358
107	0.5432994419
108	0.5422888862
109	0.5412286123
110	0.5399948544
111	0.5388877445
112	0.5378511217
113	0.5365585751
114	0.5355957879
115	0.5345155504
116	0.5333684709
117	0.5323325263
118	0.5311097887
119	0.5298396216
120	0.5290504032
121	0.5280732049
122	0.527032725
123	0.5260574765
124	0.5249282413
125	0.5237065633
126	0.522755856
127	0.5214664035
128	0.5202254401
129	0.5190642463
130	0.5179740906
131	0.5169726478
132	0.5158865187
133	0.515032408
134	0.514101749
135	0.5130816989
136	0.5120509677
137	0.5109608968
138	0.5099060059
139	0.5090542263
140	0.5078952365
141	0.5067032708
142	0.5056989882
143	0.5047196706
144	0.5036632962
145	0.5027416653
146	0.5018753899
147	0.5009610918
148	0.4999854194
149	0.4992825402
150	0.4982041253
151	0.4970718384
152	0.4957913293
153	0.4947792901
154	0.4937090556
155	0.4927508036
156	0.491923862
157	0.4911258274
158	0.4900577121
159	0.488989936
160	0.4881641812
161	0.4873076545
162	0.4863386366
163	0.485401747
164	0.4845325046
165	0.4837549845
166	0.4828720517
167	0.4817496406
168	0.4808716668
169	0.4800295512
170	0.4791546716
171	0.4784411112
172	0.4776009454
173	0.4767611186
174	0.4759083218
175	0.4748752594
176	0.4739252726
177	0.4730530633
178	0.4722103543
179	0.4713440789
180	0.4704981486
181	0.4696289062
182	0.4688915253
183	0.4680995093
184	0.4672995673
185	0.4666374207
186	0.46584532
187	0.4651768155
188	0.4642117394
189	0.4633282132
190	0.4621751997
191	0.4613906436
192	0.460531701
193	0.4598218282
194	0.4590904236
195	0.4581787957
196	0.4571999444
197	0.4564618852
198	0.4557354397
199	0.4550475227
200	0.4543241713
201	0.4536601596
202	0.4528628031
203	0.4519446479
204	0.4511809455
205	0.4504860772
206	0.4497305128
207	0.4491780175
208	0.4484214359
209	0.4477542029
210	0.4469711304
211	0.4461718241
212	0.4453253004
213	0.4444270664
214	0.4436038547
215	0.4427934435
216	0.442045678
217	0.4411931356
218	0.4403636932
219	0.439634196
220	0.4389720493
221	0.4383821275
222	0.437684589
223	0.4369854821
224	0.4361988915
225	0.4353308784
226	0.4346563551
227	0.4340181139
228	0.4332758586
229	0.43251258
230	0.4317340427
231	0.4308570862
232	0.4301410251
233	0.4294047885
234	0.4287649367
235	0.4280967712
236	0.4273089091
237	0.4265074836
238	0.4258660211
239	0.4253018697
240	0.4244452159
241	0.4238141378
242	0.4231063843
243	0.422447798
244	0.421763738
245	0.4211446126
246	0.4205603706
247	0.4198137071
248	0.419321145
249	0.4184984843
250	0.4177639431
251	0.417149904
252	0.4164042155
253	0.4157022264
254	0.4150617811
255	0.4144998338
256	0.4138813443
257	0.4133400811
258	0.4126161363
259	0.4119748857
260	0.4112561544
261	0.4105241987
262	0.4098375109
263	0.4090602451
264	0.4085074955
265	0.4077159034
266	0.4072212219
267	0.406592687
268	0.4060012394
269	0.4054420895
270	0.4048784044
271	0.4042737325
272	0.4036373562
273	0.4030342102
274	0.4024532742
275	0.4018324958
276	0.4012628343
277	0.4006969876
278	0.4001252916
279	0.399469969
280	0.3988032023
281	0.3982048459
282	0.3975852119
283	0.3970002916
284	0.3963506487
285	0.3956625197
286	0.3951804267
287	0.3945899963
288	0.3940584395
289	0.3934900072
290	0.3929793888
291	0.3924168481
292	0.3918674893
293	0.3912543827
294	0.3905879551
295	0.3899158054
296	0.3892038557
297	0.388535987
298	0.3879386054
299	0.3873215993
300	0.3868036058
301	0.3862992181
302	0.3857127719
303	0.3851156447
304	0.384421285
305	0.383870146
306	0.3833919101
307	0.3827752007
308	0.382313029
309	0.3817638821
310	0.3811969757
311	0.3806806776
312	0.3801929474
313	0.3796029409
314	0.3790120867
315	0.3784165276
316	0.3778938293
317	0.3773749034
318	0.3768468645
319	0.3762489319
320	0.3756999969
321	0.3752041287
322	0.3746992323
323	0.3742341783
324	0.3736659156
325	0.3732026842
326	0.3726231045
327	0.3721590678
328	0.3716529846
329	0.3710775587
330	0.3705858019
331	0.3700269911
332	0.3694981045
333	0.3690279219
334	0.3685715146
335	0.368055937
336	0.3675535414
337	0.3671372308
338	0.3665350596
339	0.366058943
340	0.3655485365
341	0.3651240031
342	0.3646709018
343	0.3642333137
344	0.3636672974
345	0.3632035149
346	0.3626861572
347	0.3621888902
348	0.3616942512
349	0.3612013923
350	0.3606493632
351	0.3599920485
352	0.359461636
353	0.3590692732
354	0.3584966871
355	0.3581436157
356	0.3576196459
357	0.3571846432
358	0.3567446391
359	0.3561301337
360	0.3556718191
361	0.3552045186
362	0.3547344632
363	0.3542106628
364	0.3537705739
365	0.353388087
366	0.3529760785
367	0.3525366677
368	0.3520672904
369	0.3516891479
370	0.351210022
371	0.3508379194
372	0.3504515966
373	0.349992307
374	0.3494672775
375	0.348944558
376	0.3485507117
377	0.3480349223
378	0.347586653
379	0.3472444534
380	0.3467368868
381	0.3462912665
382	0.3458175235
383	0.3454208374
384	0.3449488746
385	0.3445934931
386	0.3442172792
387	0.3438088523
388	0.3433774524
389	0.3429842207
390	0.3423985163
391	0.341960907
392	0.3416211446
393	0.3412278281
394	0.3408156501
395	0.3404438443
396	0.3400408851
397	0.3394487169
398	0.339024565
399	0.3386669159
400	0.3382369783
401	0.3378234439
402	0.3374394947
403	0.3369003296
404	0.3364473555
405	0.3359485414
406	0.3356410344
407	0.3351946089
408	0.3348571777
409	0.334439532
410	0.3339984046
411	0.3336485545
412	0.3333076053
413	0.3328989029
414	0.3324782689
415	0.3320671929
416	0.3316635344
417	0.3312019136
418	0.3308599684
419	0.3304666519
420	0.3300274319
421	0.3297009362
422	0.3292969386
423	0.3289159139
424	0.3285256916
425	0.3282150269
426	0.3278568904
427	0.3274799135
428	0.3271385193
429	0.3267509672
430	0.3263249715
431	0.3259249157
432	0.3255859799
433	0.3252434625
434	0.3248991225
435	0.3245584276
436	0.3241739909
437	0.3238300323
438	0.3234969669
439	0.3231016795
440	0.3227719625
441	0.3224310981
442	0.3220287959
443	0.3216534932
444	0.3213521745
445	0.3209896935
446	0.3206067403
447	0.320231798
448	0.3198389689
449	0.319414266
450	0.3191044913
451	0.3187687344
452	0.318356959
453	0.3179818047
454	0.3175361421
455	0.317246098
456	0.3169305589
457	0.316616355
458	0.3162601259
459	0.315857527
460	0.3155252669
461	0.3152246051
462	0.3148996565
463	0.314555041
464	0.3142791324
465	0.3139154222
466	0.3135712941
467	0.313142501
468	0.3128206889
469	0.3125356886
470	0.3122870975
471	0.3120417701
472	0.3116598341
473	0.3113137987
474	0.3109436459
475	0.310584471
476	0.3102749083
477	0.3098466237
478	0.3096149657
479	0.3093103621
480	0.3090116289
481	0.3087161382
482	0.3083868663
483	0.307998085
484	0.3076611837
485	0.3074818505
486	0.3072204378
487	0.3068942812
488	0.3065194024
489	0.3061724345
490	0.3059532166
491	0.305655649
492	0.3053396437
493	0.3049987581
494	0.3047718684
495	0.3044117398
496	0.3040483263
497	0.3037442313
498	0.3033917533
499	0.3031236013
500	0.3028147591
501	0.3025141398
502	0.3022589789
503	0.301922777
504	0.3015740924
505	0.3013276842
506	0.3009896384
507	0.3006455315
508	0.3003188239
509	0.3000132667
510	0.2996238708
511	0.2993301815
512	0.299065378
513	0.2988265355
514	0.2985397339
515	0.2982681698
516	0.2980356216
517	0.2977539062
518	0.2974059211
519	0.2971791797
520	0.2968738132
521	0.2964794795
522	0.2962522719
523	0.2959861332
524	0.2957020654
525	0.2954563989
526	0.2951732212
527	0.2949568431
528	0.2947128296
529	0.2944256888
530	0.294168006
531	0.2939203898
532	0.2936827977
533	0.293402142
534	0.2931337992
535	0.2928572761
536	0.2925637563
537	0.2922575209
538	0.2919876099
539	0.2916848924
540	0.2913979001
541	0.291165691
542	0.2909203847
543	0.2905939738
544	0.290284284
545	0.2900296105
546	0.289752494
547	0.2895357768
548	0.2892882029
549	0.2890784158
550	0.2887590832
551	0.2884654151
552	0.2881768756
553	0.2878965166
554	0.2876222399
555	0.2874161614
556	0.2871367137
557	0.2868623945
558	0.286544927
559	0.2862966749
560	0.2860465156
561	0.2857894686
562	0.2855411106
563	0.2852771335
564	0.2849752214
565	0.2847556644
566	0.2844539854
567	0.2842186398
568	0.2839892069
