EPI_YEAR,EPI_WEEK,tplot,rh_max_lag,rh_min_lag,t_min_lag,t_max_lag,LAMBDA_lag,p_total_lag,CASES_100K,label
2008,15,2008.2884615384614,94.75,75.16142857142857,22.82857142857143,26.717142857142857,1.0037232553686941,20.17,39.31795613311362,Epi
2008,16,2008.3076923076924,92.61428571428571,68.12571428571428,24.002857142857142,26.47714285714286,1.2347528605288935,95.72,29.708647654180645,Epi
2008,17,2008.326923076923,90.68857142857142,78.74,23.062857142857144,29.602857142857143,0.9403368007867222,31.61,21.121606034708634,Epi
2008,18,2008.3461538461538,91.29428571428572,75.91857142857143,22.777142857142856,28.062857142857144,0.8033702310505356,14.35,13.179378895819685,Pre
2008,19,2008.3653846153845,90.03571428571429,74.43857142857142,22.88714285714286,26.572857142857142,0.7138117117441791,7.39,9.058857093069376,Pre
2008,20,2008.3846153846155,92.15285714285714,65.53571428571429,21.47714285714286,29.801428571428573,0.6772262846600217,41.9,5.331514851650206,Pre
2008,21,2008.4038461538462,91.59,67.50714285714285,23.145714285714288,27.244285714285713,0.7335248803228273,19.48,3.2240724029153163,Pre
2008,22,2008.423076923077,88.74142857142857,66.15142857142857,22.96,27.347142857142856,0.842633295579381,61.75,2.610712287238744,Pre
2008,23,2008.4423076923076,92.45428571428572,57.902857142857144,22.17142857142857,26.66857142857143,0.9283724318514504,54.93,1.132357136633672,Pre
2008,24,2008.4615384615386,94,65.87714285714286,21.174285714285713,25.818571428571428,0.9592433084428157,60.970000000000006,1.2424474138063901,Pre
2008,25,2008.4807692307693,93.49285714285715,68.28714285714285,19.594285714285714,26.74142857142857,0.9334324497834773,9.59,0.8335406700220085,Pre
2008,26,2008.5,91.57142857142857,60.392857142857146,19.06142857142857,26.38142857142857,0.9258889521934195,28.99,0.36172519642464523,Pre
2008,27,2008.5192307692307,89.96571428571428,57.08714285714286,19.15,26.36,0.8138967943575973,46.67,0.47181547359736337,Pre
2008,28,2008.5384615384614,92.17714285714285,69.42857142857143,19.424285714285713,26.714285714285715,0.7486526008587635,7.53,0.3145436490649089,Pre
2008,29,2008.5576923076924,93.76857142857143,63.18714285714285,19.025714285714287,23.69142857142857,0.7337183179142477,111.14,0.5189970209570997,Pre
2008,30,2008.576923076923,94.51857142857143,61.05285714285714,20.134285714285713,23.062857142857144,0.6833850608451868,4.64,0.6290872981298178,Pre
2008,31,2008.5961538461538,93.75,46.07,18.312857142857144,26.517142857142858,0.6293428616065954,68.53,0.141544642079209,Pre
2008,32,2008.6153846153845,86.00142857142858,51.75,18.04,25.32857142857143,0.6447598492969349,18.7,0.36172519642464523,Pre
2008,33,2008.6346153846155,94.80285714285715,39.07857142857143,18.13142857142857,24.09857142857143,0.5675009953278318,39.75,0.1729990069856999,Pre
2008,34,2008.6538461538462,92.57142857142857,62.25,16.85142857142857,26.534285714285716,0.5919929436770925,28.22,0.22018055434543626,Pre
2008,35,2008.673076923077,93.17857142857143,53.94428571428571,16.272857142857145,24.927142857142858,0.6141261082578574,14.33,0.12581745962596355,Pre
2008,36,2008.6923076923076,90.30571428571429,50.644285714285715,18.19142857142857,21.802857142857142,0.3852377730613454,26.86,0.1729990069856999,Pre
2008,37,2008.7115384615386,85.44571428571429,58.892857142857146,17.52,23.987142857142857,0.6191200053454495,10.9,0.2516349192519271,Pre
2008,38,2008.7307692307693,86.26,45.160000000000004,19.91857142857143,22.94142857142857,0.40114358322744603,2.66,0.09436309471947267,Pre
2008,39,2008.75,89.61571428571429,57.24,19.18857142857143,24.89857142857143,0.16902119071644808,0.77,0.23590773679868168,Pre
2008,40,2008.7692307692307,89.97285714285714,63.69714285714286,19.094285714285714,25.965714285714288,0.24434603827297172,10.889999999999999,0.12581745962596355,Pre
2008,41,2008.7884615384614,91.11714285714285,61.30285714285714,18.54,28.185714285714287,0.25358211305306255,9.219999999999999,0.15727182453245445,Pre
2008,42,2008.8076923076924,91.83857142857143,62.097142857142856,18.175714285714285,25.734285714285715,0.24339360222531317,0.5,0.3774523788778907,Pre
2008,43,2008.826923076923,90.49857142857142,66.11571428571429,20.404285714285713,27.332857142857144,0.21624554332661594,5.42,0.3459980139713998,Pre
2008,44,2008.8461538461538,90.12571428571428,55.48142857142857,17.91,27.41,-0.19365171811298768,18.52,0.2673621017051726,Pre
2008,45,2008.8653846153845,93.27714285714286,59.26571428571429,18.27857142857143,24.931428571428572,-0.5269320843091333,14.940000000000001,0.4089067437843816,Pre
2008,46,2008.8846153846155,90.69,60.83857142857143,19.702857142857145,27.437142857142856,0.03556593977154702,1.29,0.5819057507700814,Pre
2008,47,2008.9038461538462,88.13428571428571,62.93857142857143,19.102857142857143,27.652857142857144,0.20367324561403508,0.04,0.7391775753025359,Pre
2008,48,2008.923076923077,90.92714285714285,69.32000000000001,21.12,22.58,0.32069892473118283,0.30000000000000004,0.566178568316836,Pre
2008,49,2008.9423076923076,90.17714285714285,70.44857142857143,20.382857142857144,23.464285714285715,0.737767584097859,2.67,0.9436309471947267,Pre
2008,50,2008.9615384615386,93.15857142857143,78.08,20.7,25.90714285714286,1.0267972449418856,14.459999999999999,0.6605416630363087,Pre
2008,51,2008.9807692307693,92.08,68.26714285714286,21.247142857142858,23.767142857142854,0.7846557759626605,8.02,0.5504513858635907,Pre
2008,52,2009,88.72571428571429,67.92,21.845714285714287,28.858571428571427,0.9339454354669465,5.44,0.4403611086908725,Pre
2009,1,2009.0192307692307,87.62428571428572,82.75142857142858,20.73,27.197142857142858,0.7025976753956031,7.07,0.35928719919069774,Pre
2008,53,2009.0192307692307,90.23285714285714,76.29428571428572,20.695714285714285,26.755714285714287,0.602790272701715,6.18,0.47181547359736337,Pre
2009,2,2009.0384615384614,91.33,75.62428571428572,20.36,27.822857142857142,0.48535104698222753,3.24,0.6717108506608697,Pre
2009,3,2009.0576923076924,86.99857142857142,76.39285714285714,20.891428571428573,26.904285714285713,0.532776349614396,22.19,0.5154990249257838,Pre
2009,4,2009.076923076923,88.85857142857142,61.285714285714285,21.18857142857143,24.322857142857142,0.4779199815519428,29.200000000000003,0.6560896680873611,Pre
2009,5,2009.0961538461538,92.38571428571429,73.44714285714285,22.574285714285715,24.014285714285712,0.3405915670232855,22.2,1.0778615975720933,Pre
