EPI_YEAR,EPI_WEEK,tplot,rh_max_lag,rh_min_lag,t_min_lag,t_max_lag,LAMBDA_lag,p_total_lag,CASES_100K,label
2004,35,2004.673076923077,88.85714285714286,68.45714285714286,19.55,24.564285714285713,0.13571428571428573,47.76,0.048487136685884814,Pre
2004,36,2004.6923076923076,93.16142857142857,70.75142857142858,19.458571428571428,25.492857142857144,0.06428571428571443,3.95,0.016162378895294937,Pre
2004,37,2004.7115384615386,87.34714285714286,69.31285714285714,18.505714285714287,24.628571428571426,0.11249999999999984,41.03,0.016162378895294937,Pre
2004,38,2004.7307692307693,92.60857142857142,70.52714285714286,17.695714285714285,23.404285714285713,-0.08450704225352111,8.91,0.048487136685884814,Pre
2004,39,2004.75,93.97142857142858,72.16571428571429,16.712857142857143,20.10142857142857,-0.08450704225352113,10.14,0.032324757790589874,Pre
2004,40,2004.7692307692307,94.27857142857142,72.72285714285714,17.184285714285714,21.972857142857144,-0.09154929577464761,1.5499999999999998,0.032324757790589874,Pre
2004,41,2004.7884615384614,93.69571428571429,71.08,16.70285714285714,23.082857142857144,-0.23437499999999986,3.8,0.048487136685884814,Pre
2004,42,2004.8076923076924,92.34857142857143,62.277142857142856,16.984285714285715,20.728571428571428,-0.07758620689655182,37.74,0.06464951558117975,Pre
2004,43,2004.826923076923,82.03571428571429,71.44714285714285,19.715714285714284,23.89857142857143,-0.1428571428571431,56.53,0.032324757790589874,Pre
2004,44,2004.8461538461538,87.76857142857143,63.93571428571428,18.495714285714286,24.53,-0.24637681159420288,81.61,0.048487136685884814,Pre
2004,45,2004.8653846153845,97.29428571428572,67.52571428571429,17.667142857142856,24.374285714285715,-0.03571428571428569,2.3800000000000003,0.048487136685884814,Pre
2004,46,2004.8846153846155,82.98,74.49857142857142,19.16857142857143,25.23,0.20833333333333307,3.89,0.08081189447647469,Pre
2004,47,2004.9038461538462,95.48142857142857,65.92142857142856,19.855714285714285,24.375714285714285,0.7124999999999999,16.73,0.09697427337176963,Pre
2004,48,2004.923076923077,97.51857142857143,62.6,20.201428571428572,26.931428571428572,0.969565217391304,3.92,0.1292990311623595,Pre
2004,49,2004.9423076923076,93.27857142857142,68.75857142857143,18.19142857142857,26.091428571428573,0.8919597989949747,5.5600000000000005,0.11313665226706457,Pre
2004,50,2004.9615384615386,92.26857142857143,62.15,20.65142857142857,22.662857142857142,0.6619433198380568,2.87,0.06464951558117975,Pre
2004,51,2004.9807692307693,94.34714285714286,63.13428571428572,19.994285714285716,26.09857142857143,0.6131221719457015,0.44000000000000006,0.06464951558117975,Pre
2004,52,2005,95.57142857142857,67.30428571428571,19.75857142857143,25.312857142857144,0.599476439790576,12.58,0.08081189447647469,Pre
2005,1,2005.0192307692307,94.83,70.13142857142857,21.8,26.14,0.634078212290503,0.66,0.11232832220641066,Pre
2005,2,2005.0384615384614,85.99285714285715,65.36,20.26142857142857,29.584285714285713,0.37931034482758585,28.63,0.04814070951703314,Pre
2005,3,2005.0576923076924,96.69857142857143,62.544285714285714,20.06714285714286,25.455714285714286,0.4375000000000002,38.11,0.03209380634468876,Pre
